NOME,TIPO,APLICACAO,categoria,codigo_fabricante,descricao,link,imagem,Destaque
Alt-R™ CRISPR-Cas9 crRNA,Reagentes laboratoriais,CRISPR,IDT,COR100018,"Alt-R™ CRISPR-Cas9 crRNA (2, 10, 50 nmol)

Código do produto: COR100018 — Custom
Oligonucleotídeo de RNA target-specific para o formato 2-part gRNA, desenhado para ser duplexado com o tracrRNA antes da formação do complexo RNP com Cas9. Os crRNAs Alt-R são otimizados e encurtados (35–36 nt), contendo o protospacer de 19–20 nt e o domínio de fusão com tracrRNA (16 nt), com recomendação de 20 nt para a maioria das aplicações. São sintetizados com modificações químicas proprietárias para aumentar resistência a RNases e sustentar desempenho on-target; existe a variante crRNA XT com modificações adicionais para condições mais desafiadoras (ex.: ambientes com alta nuclease ou uso com Cas9 mRNA).",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-cas9-system,\Imagens\produtos\MH033-500G.jpg,F
Alt-R™ CRISPR-Cas9 sgRNA,Reagentes laboratoriais,CRISPR,IDT,COR100014,"Alt-R™ CRISPR-Cas9 sgRNA (2, 10, 50 nmol)

Código do produto: COR100014 — Custom
Guia único (single guide) em uma única molécula, unificando as regiões de crRNA e tracrRNA para simplificar o workflow (menos componentes no preparo do RNP). São oligos longos de 99–100 bases, compostos por protospacer de 19–20 nt acoplado a uma região universal de ~80 bases, e incluem modificações químicas voltadas à estabilidade e resistência a nucleases (especialmente úteis em condições desafiadoras). Disponível com dessalinização padrão ou purificação por HPLC, conforme necessidade de performance/robustez experimental.",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-cas9-system,\Imagens\produtos\TCL280-500ML.JPG,F
"Alt-R™ CRISPR-Cas9 tracrRNA, 5 nmol",Reagentes laboratoriais,CRISPR,IDT,1072532,"Alt-R™ CRISPR-Cas9 tracrRNA (5 nmol)

Código do produto: 1072532
tracrRNA universal de 67 nt (mais curto que o tracrRNA “clássico” de 89 bases), desenhado para melhorar o desempenho on-target quando hibridizado ao crRNA no sistema Alt-R™. Contém modificações químicas proprietárias que aumentam a resistência a nucleases/RNases, elevando a estabilidade funcional em aplicações de edição gênica. Especificações de QC/lote incluem pureza analítica por RP-HPLC (>70% produto full-length), critério de desempenho funcional conforme user guide e armazenamento a −20 °C (recipiente selado).",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-cas9-system,\Imagens\produtos\invitek.jpg,F
"Alt-R™ S.p. Cas9 Nuclease V3, 100 µg",Reagentes laboratoriais,CRISPR,IDT,1081058,"Alt-R™ S.p. Cas9 Nuclease V3 (100 µg)

Código do produto: 1081058
Nuclease recombinante de Streptococcus pyogenes (SpCas9), descrita como a opção “padrão” para edição gênica geral. Fornecida como proteína de alta pureza, contendo sequências de localização nuclear (NLS) e tag C-terminal 6-His, devendo ser combinada com um gRNA (crRNA:tracrRNA ou sgRNA) para formar o complexo RNP ativo e específico para o alvo. QC do produto contempla teste de performance funcional e recomendação de armazenamento a −20 °C (recipiente selado), com política publicada de garantia por 6 meses após o recebimento.",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-cas9-system,\Imagens\produtos\TCL280-500ML.JPG,F
"Alt-R™ S.p. HiFi Cas9 Nuclease V3, 100 µg",Reagentes laboratoriais,CRISPR,IDT,1081060,"Alt-R™ S.p. HiFi Cas9 Nuclease V3 (100 µg)

Código do produto: 1081060
Variante high-fidelity de SpCas9 voltada a aplicações que exigem maior especificidade, com redução do risco de cortes off-target mantendo alta eficiência on-target (referência publicada de ~90–100% de atividade on-target na maioria dos sítios). Indicada para uso em complexo RNP com gRNA otimizado, preservando desempenho de edição enquanto aumenta a precisão do corte. QC/armazenamento seguem o padrão do sistema: teste de performance funcional, armazenamento a −20 °C (recipiente selado) e garantia publicada por 6 meses após o recebimento.",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-cas9-system,\Imagens\produtos\rabbits2.jpg,F
Alt-R™ A.s. Cas12a crRNA,Reagentes laboratoriais,CRISPR,IDT,COR100018,"Alt-R™ A.s. Cas12a crRNA (2, 10 nmol)

Código do produto: COR100018 — Custom
crRNA otimizado para complexação direta com Cas12a (formato crRNA:Cas12a, sem necessidade de tracrRNA), suportando edição em regiões adicionais do genoma via reconhecimento do PAM TTTV (alvos em regiões AT-rich). Trata-se de um guide RNA 40–44 bases, composto por uma região constante (loop) de 20 bases e uma região target-specific (protospacer) de 20–24 bases (recomendação típica: 21 bases). As sequências são sintetizadas com modificações proprietárias para proteção contra RNases e melhor performance funcional; ao inserir o alvo no sistema de pedido, o restante da sequência e as modificações necessárias são adicionados automaticamente para completar o crRNA Alt-R.",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-cpf1-genome-editing,\Imagens\produtos\MB554-20PR.JPG,F
Alt-R™ L.b. Cas12a crRNA,Reagentes laboratoriais,CRISPR,IDT,COR100018,"Alt-R™ L.b. Cas12a crRNA (2, 10 nmol)

Código do produto: COR100018 — Custom
crRNA Alt-R para complexação direta com Cas12a, no mesmo racional de simplicidade operacional (sem tracrRNA) e com desenho baseado no PAM TTTV, no qual o crRNA reconhece ~21–24 bases do DNA na fita oposta ao PAM. Mantém o formato Alt-R 40–44 bases (20 bases constantes + 20–24 bases target-specific) e é entregue com modificações químicas proprietárias para estabilidade em ambiente celular e maior resistência a RNases, favorecendo reprodutibilidade em entrega como RNP.",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-cpf1-genome-editing,\Imagens\produtos\MB580-20PR.JPG,F
"Alt-R™ A.s. Cas12a (Cpf1) V3, 100 µg",Reagentes laboratoriais,CRISPR,IDT,1081068,"Alt-R™ A.s. Cas12a (Cpf1) V3 (100 µg)

Código do produto: 1081068
Nuclease recombinante de alta pureza de Acidaminococcus sp. BV3L6 (Cas12a/Cpf1), indicada para edição gênica em regiões AT-rich quando o PAM típico de Cas9 (NGG) limita o desenho. Forma um complexo RNP ativo quando combinada com crRNA (não requer tracrRNA) e gera quebra com overhang 5′ (staggered cut). Possui NLS para desempenho em células eucarióticas e tag C-terminal 6-His; recomendação do fabricante é testar ≥3 crRNAs por alvo devido à variabilidade de clivagem em sítios TTTV. Armazenamento: −20 °C (recipiente selado).",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-enzymes/cas12a-protein,\Imagens\produtos\MB530-20PR.JPG,F
"Alt-R™ L.b. Cas12a (Cpf1) Ultra, 100 µg",Reagentes laboratoriais,CRISPR,IDT,10007922,"Alt-R™ L.b. Cas12a (Cpf1) Ultra (100 µg)

Código do produto: 10007922
Nuclease Cas12a “Ultra” para formação de complexo RNP com crRNA (sem tracrRNA), projetada para potência on-target superior em comparação ao Cas12a A.s. wild-type e para ampliar o espaço de alvos via reconhecimento de PAM TTTN (incluindo muitos sítios TTTT, além de TTTV). Mantém o mecanismo típico de Cas12a com staggered cut e overhang 5′ e é descrita como ativa em temperatura ambiente, aumentando a flexibilidade em aplicações que exigem entrega em condições mais baixas de temperatura.",https://www.idtdna.com/pages/products/crispr-genome-editing/alt-r-crispr-enzymes/cas12a-protein,\Imagens\produtos\MB619-20PR.JPG,F
TriFECTa® RNAi Kit,Reagentes laboratoriais,Regulação Gênica,IDT,COR100002,"TriFECTa® RNAi Kit

Código do produto: COR100002 — Predesigned
Kit completo para silenciamento gênico por RNAi baseado em Dicer-Substrate siRNAs (DsiRNAs), entregue com todos os controles críticos para padronização. Inclui 3 DsiRNAs alvo-específicos (2 nmol cada), controle negativo DS NC1 (não reconhece sequências de humano/camundongo/rato), controle positivo HPRT-S1 e controle fluorescente de transfecção TYE™ 563, além de Nuclease-Free Duplex Buffer para ressuspensão e preparo. O kit não inclui primers/reagentes de qPCR para quantificação do knockdown (monitoramento é feito com ensaio separado). Traz garantia de desempenho: sob condições definidas (ex.: 10 nM, leitura por qRT-PCR e transfecção >90% indicada pelo controle fluorescente), ≥2 dos 3 DsiRNAs atingem ≥70% de redução do mRNA alvo.",https://www.idtdna.com/pages/products/functional-genomics/dsirnas-and-trifecta-rnai-kits#product-details,\Imagens\produtos\MB618-20PR.JPG,F
DsiRNA (2 - 10nmol),Reagentes laboratoriais,Regulação Gênica,IDT,COR100014,"DsiRNA (Dicer-Substrate siRNA)

Código do produto: COR100014 — Custom
Duplex de RNA 27-mer (DsiRNA), desenhado para processamento otimizado por Dicer, explorando a via natural de carregamento em RISC e, por isso, frequentemente entregando maior potência vs siRNA tradicional de 21-mer. Fornecido duplexado e seco, exigindo apenas ressuspensão (sem necessidade de annealing). Disponível em escalas 2 nmol e 10 nmol (tubos; formato em placa sob consulta), com portfólio e fluxos de pedido suportados por ferramentas de design/seleção do próprio fabricante.",https://www.idtdna.com/pages/products/functional-genomics/dsirnas-and-trifecta-rnai-kits,\Imagens\produtos\MB571-20PR.JPG,F
Inibidores de miRNA,Reagentes laboratoriais,Regulação Gênica,IDT,COR100014,"Inibidores de miRNA

Código do produto: COR100014 — Custom
Oligonucleotídeos single-strand antisense para bloqueio estérico: hibridizam de forma complementar ao miRNA maduro e impedem sua função (formação de duplex que evita interação do miRNA com o alvo). A química é baseada em 2′-O-metil (2′OMe) para aumentar afinidade e resistência a endonucleases, com modificações ZEN™ para bloquear exonucleases e elevar estabilidade global. Otimizados para alta potência em baixas concentrações (faixa de nM), com foco em especificidade e baixa toxicidade em células. O fluxo de pedido é guiado por ferramenta de design (ex.: entrada direta da sequência madura a partir de bases como miRBase, com conversão automática para o oligo complementar com as modificações).",https://www.idtdna.com/pages/products/functional-genomics/mirna-inhibitors,\Imagens\produtos\MB544-20PR.JPG,F
xGen™ DNA Library Prep EZ 96rxn,Reagentes laboratoriais,NGS,IDT,10009821,"xGen™ DNA Library Prep EZ (96 rxn)

Código do produto: 10009821
Kit de preparo de biblioteca para dsDNA com fragmentação enzimática, suportando ampla faixa de entrada (~100 pg a 1 µg), com workflow otimizado para bibliotecas destinadas a WGS e/ou xGen Hybridization Capture. Inclui xGen™ Stubby Y Adapters para indexação por PCR com primers TruSeq-compatíveis (indexação adquirida separadamente) e recomendações objetivas de ciclos mínimos de amplificação conforme input (ex.: ≥100 ng: 3 ciclos; 25 ng: 5; 10 ng: 7; 1 ng: 10). Armazenamento recomendado a −20 °C (enzimas sensíveis à temperatura).",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-library-preparation/dna-library-preparation/dna-library-prep-kit,\Imagens\produtos\MB542-20PR.JPG,F
xGen™ RNA Library Prep 96rxn,Reagentes laboratoriais,NGS,IDT,10009814,"xGen™ RNA Library Prep (96 rxn)

Código do produto: 10009814

Kit de preparo de bibliotecas para RNA-seq stranded em plataformas Illumina®, com workflow rápido (~3,5 h) que constrói a biblioteca diretamente a partir da 1ª fita de cDNA, sem necessidade de síntese/degradação da 2ª fita e sem métodos de template-switching. Utiliza a tecnologia proprietária Adaptase™ tailing + ligation para adicionar o adaptador (R2 Stubby) ao 3’ do cDNA de 1ª fita, mantendo strandedness ≥97%. Suporta ampla faixa de entrada: 100 ng a 1 µg de RNA total e 5–100 ng de mRNA, com compatibilidade declarada para RNA total, mRNA poly(A)-enriquecido e RNA ribo-depletado. Inclui módulos completos do fluxo (fragmentação, RT e library prep) e foi desenhado para automação, com ~10% de overage de reagentes fornecida para uso em liquid handlers. Não requer titração de adaptadores dentro dos níveis de input suportados. Armazenamento recomendado a −20 °C; vida útil declarada de ≥6 meses quando armazenado e manuseado conforme o protocolo.",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-library-preparation/rna-library-preparation/rna-library-prep-kit,\Imagens\produtos\Rabbit.jpg,F
"xGen™ UDI Primers Plate 1, 8nt",Reagentes laboratoriais,NGS,IDT,10005922,"xGen™ UDI Primers Plate 1 (8 nt)

Código do produto: 10005922
Placa “legacy” de Unique Dual Indexing (UDI) 8 nt em formato 96 poços, com pares de primers de indexação por poço para multiplexação em plataformas Illumina. Recomendação importante: não misturar este conjunto com outras placas 8 nt de UDI (ex.: Plate 2), por se tratarem de conjuntos “legados” distintos.",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-library-preparation/ngs-adapters-indexing-primers/adapters-indexing-primers-for-illumina,\Imagens\produtos\Rabbit.jpg,F
xGen™ UDI 10nt Primer Plates 1-4,Reagentes laboratoriais,NGS,IDT,10008052,"xGen™ UDI 10nt Primer Plates 1–4

Código do produto: 10008052
Conjunto de primers UDI em código de barras 10 nt projetado para alta plexidade, com foco em distância de edição adequada entre índices para reduzir risco de colisões/ambiguidade de indexação. Formato em placas “single-use” com selo perfurável, onde cada poço entrega um par específico de índices para indexar uma amostra, suportando estratégias de multiplexação em larga escala (conjuntos 1–4).",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-library-preparation/ngs-adapters-indexing-primers/adapters-indexing-primers-for-illumina,\Imagens\produtos\invitek.jpg,F
"xGen Custom Hyb Panel, 16-96 rxn",Reagentes laboratoriais,NGS,IDT,COR100006,"xGen Custom Hyb Panel (16–96 rxn)

Código do produto: COR100006 — Custom
Painel customizado de captura por hibridização para NGS, composto por sondas (probes) 5′-biotiniladas, sintetizadas individualmente com alta fidelidade e fornecidas como pool equimolar (mesma concentração molar de cada probe), favorecendo representação balanceada no produto final. O desenho é triado contra off-targets por um método proprietário de QC bioinformático baseado em identidade de sequência, permitindo expandir o espaço alvo sem elevar o risco de captura inespecífica. Entrega típica em até ~3 semanas e inclui NGS Functional Test Report com métricas específicas de captura para confirmação de desempenho do painel. Otimizado para uso com os reagentes do ecossistema xGen (Hybridization & Wash, Universal Blockers e Library Amplification Primer Mix).",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-hybridization-capture/custom-hyb-panels,\Imagens\produtos\1001136100.jpg,F
"xGen Custom Hyb Panel - Accel, 16-96 rxn",Reagentes laboratoriais,NGS,IDT,COR100006,"xGen Custom Hyb Panel – Accel (16–96 rxn)

Código do produto: COR100006 — Custom

Versão acelerada do painel customizado de captura por hibridização para NGS, composto por sondas (probes) 5′-biotiniladas sintetizadas individualmente e direcionadas ao alvo definido pelo usuário. Projetado para prazo máximo de entrega, com turnaround em até 5 dias úteis (após finalização do design; referência publicada para painéis até 50.000 probes). O desenho é triado contra off-targets por um método proprietário de QC bioinformático baseado em identidade de sequência, visando reduzir captura inespecífica. Otimizado para uso com o ecossistema xGen (Hybridization & Wash, Universal Blockers e Library Amplification Primer Mix) em workflows de captura por hibridização. Observação publicada pelo fabricante: nesta opção não é fornecido o NGS Functional Test Report.",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-hybridization-capture/custom-hyb-panels,\Imagens\produtos\G1245-500G.jpg,F
"xGen™ Exome Hyb Panel v2, 16 rxn",Reagentes laboratoriais,NGS,IDT,10005152,"xGen™ Exome Hyb Panel v2 (16 rxn)

Código do produto: 10005152
Painel de captura por hibridização para whole exome com algoritmo target-aware para minimizar off-target e maximizar cobertura de regiões codificantes, com desempenho desenhado para alta taxa on-target mesmo em captura multiplex (ex.: 12-plex). Abrange ~34 Mb do genoma humano e é composto por 415.115 sondas sintetizadas individualmente, com fabricação em sistema de qualidade (ex.: ISO 13485/GMP, conforme materiais do produto).",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-hybridization-capture/pre-designed-hyb-cap-panels/exome-hyb-panel-v2,\Imagens\produtos\M1363-500G.jpg,F
"xGen™ Human mtDNA Hyb Panel, 16 rxn",Reagentes laboratoriais,NGS,IDT,1075705,"xGen™ Human mtDNA Hyb Panel (16 rxn)

Código do produto: 1075705
Painel de captura para enriquecimento de DNA mitocondrial humano (mtDNA), aplicável como spike-in a painéis de captura existentes sem comprometer a taxa on-target do painel “receptor”, e com exemplo de cobertura uniforme nas regiões alvo. Disponibiliza arquivos de painel/alvos (BED) e certificados de análise por lote.",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-hybridization-capture/pre-designed-hyb-cap-panels/human-mtdna-hyb-panel,\Imagens\produtos\invitek.jpg,F
"xGen™ CNV Backbone Hyb Panel, 16 rxn",Reagentes laboratoriais,NGS,IDT,1080563,"xGen™ CNV Backbone Hyb Panel (16 rxn)

Código do produto: 1080563
Painel “backbone” para análise de copy number variation (CNV) por captura, aplicável como standalone ou em conjunto com painéis customizados/predesenhados. Permite identificar alterações estruturais (deleções/duplicações, etc.) e, adicionalmente, apoiar detecção de variantes como SNVs e indels, com arquivos BED de probes e SNPs alvo disponibilizados.",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-hybridization-capture/pre-designed-hyb-cap-panels/human-cnv-backbone-hyb-panel,\Imagens\produtos\AL006A-500ML.jpg,F
"xGen™ Hybridization and Wash Reagents v3, 16 rxn",Reagentes laboratoriais,NGS,IDT,10028311,"xGen™ Hybridization and Wash Reagents v3 (16 rxn)

Código do produto: 10028311
Conjunto de tampões/reagentes para captura por hibridização otimizado para o ecossistema xGen, com formulação v3 voltada a reduzir vieses do processo de hibridização/captura/lavagens e melhorar o balanço AT/GC em comparação a versões anteriores. Indicação de armazenamento: parte dos reagentes a −20 °C (ex.: Hybridization buffer), e wash buffers conforme orientação do protocolo (com pontos de pausa “safe stopping points”).",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-hybridization-capture/hybridization-capture-core-reagents,\Imagens\produtos\AL028A.jpg,F
"xGen™ Hybridization and Wash Beads v3, 16 rxn",Reagentes laboratoriais,NGS,IDT,10025272,"xGen™ Hybridization and Wash Beads v3 (16 rxn)

Código do produto: 10025272
Beads de captura (streptavidina) para a etapa de pull-down na captura por hibridização xGen v3. Armazenamento típico a 4 °C e preparo recomendado até ~2 h antes do uso, com ressuspensão completa imediatamente antes da alíquota para maximizar consistência de captura.",https://www.idtdna.com/pages/products/next-generation-sequencing/workflow/xgen-ngs-hybridization-capture/hybridization-capture-core-reagents,\Imagens\produtos\TCL280-500ML.JPG,F
"xGen™ Universal Blockers TS, 16 rxn",Reagentes laboratoriais,NGS,IDT,1075474,"xGen™ Universal Blockers TS (16 rxn)

Código do produto: 1075474
Oligos bloqueadores para reduzir hibridização inespecífica em captura, desenhados para bibliotecas ligation-based TruSeq-style com esquemas de índices 6–8 bases (single/dual). A aplicação típica é bloquear sequências de adaptadores, aumentando leituras on-target e profundidade efetiva de enriquecimento.",https://www.idtdna.com/site/order/stock/partnbr/1075474,\Imagens\produtos\MH033-500G.jpg,F
